areaCode,areaName,areaType,date,newDeaths28DaysByDeathDate
K02000001,United Kingdom,overview,2021-01-15,1228
K02000001,United Kingdom,overview,2021-01-14,1231
K02000001,United Kingdom,overview,2021-01-13,1219
K02000001,United Kingdom,overview,2021-01-12,1213
K02000001,United Kingdom,overview,2021-01-11,1131
K02000001,United Kingdom,overview,2021-01-10,1098
K02000001,United Kingdom,overview,2021-01-09,1023
K02000001,United Kingdom,overview,2021-01-08,987
K02000001,United Kingdom,overview,2021-01-07,996
K02000001,United Kingdom,overview,2021-01-06,936
K02000001,United Kingdom,overview,2021-01-05,909
K02000001,United Kingdom,overview,2021-01-04,845
K02000001,United Kingdom,overview,2021-01-03,760
K02000001,United Kingdom,overview,2021-01-02,762
K02000001,United Kingdom,overview,2021-01-01,750
K02000001,United Kingdom,overview,2020-12-31,758
K02000001,United Kingdom,overview,2020-12-30,722
K02000001,United Kingdom,overview,2020-12-29,660
K02000001,United Kingdom,overview,2020-12-28,679
K02000001,United Kingdom,overview,2020-12-27,658
K02000001,United Kingdom,overview,2020-12-26,657
K02000001,United Kingdom,overview,2020-12-25,615
K02000001,United Kingdom,overview,2020-12-24,584
K02000001,United Kingdom,overview,2020-12-23,566
K02000001,United Kingdom,overview,2020-12-22,564
K02000001,United Kingdom,overview,2020-12-21,576
K02000001,United Kingdom,overview,2020-12-20,505
K02000001,United Kingdom,overview,2020-12-19,489
K02000001,United Kingdom,overview,2020-12-18,515
K02000001,United Kingdom,overview,2020-12-17,538
K02000001,United Kingdom,overview,2020-12-16,432
K02000001,United Kingdom,overview,2020-12-15,461
K02000001,United Kingdom,overview,2020-12-14,479
K02000001,United Kingdom,overview,2020-12-13,419
K02000001,United Kingdom,overview,2020-12-12,438
K02000001,United Kingdom,overview,2020-12-11,453
K02000001,United Kingdom,overview,2020-12-10,449
K02000001,United Kingdom,overview,2020-12-09,432
K02000001,United Kingdom,overview,2020-12-08,436
K02000001,United Kingdom,overview,2020-12-07,425
K02000001,United Kingdom,overview,2020-12-06,421
K02000001,United Kingdom,overview,2020-12-05,395
K02000001,United Kingdom,overview,2020-12-04,476
K02000001,United Kingdom,overview,2020-12-03,475
K02000001,United Kingdom,overview,2020-12-02,387
K02000001,United Kingdom,overview,2020-12-01,399
K02000001,United Kingdom,overview,2020-11-30,424
K02000001,United Kingdom,overview,2020-11-29,466
K02000001,United Kingdom,overview,2020-11-28,471
K02000001,United Kingdom,overview,2020-11-27,426
K02000001,United Kingdom,overview,2020-11-26,434
K02000001,United Kingdom,overview,2020-11-25,488
K02000001,United Kingdom,overview,2020-11-24,464
K02000001,United Kingdom,overview,2020-11-23,464
K02000001,United Kingdom,overview,2020-11-22,477
K02000001,United Kingdom,overview,2020-11-21,467
K02000001,United Kingdom,overview,2020-11-20,454
K02000001,United Kingdom,overview,2020-11-19,463
K02000001,United Kingdom,overview,2020-11-18,489
K02000001,United Kingdom,overview,2020-11-17,444
K02000001,United Kingdom,overview,2020-11-16,423
K02000001,United Kingdom,overview,2020-11-15,456
K02000001,United Kingdom,overview,2020-11-14,434
K02000001,United Kingdom,overview,2020-11-13,437
K02000001,United Kingdom,overview,2020-11-12,422
K02000001,United Kingdom,overview,2020-11-11,390
K02000001,United Kingdom,overview,2020-11-10,391
K02000001,United Kingdom,overview,2020-11-09,484
K02000001,United Kingdom,overview,2020-11-08,415
K02000001,United Kingdom,overview,2020-11-07,394
K02000001,United Kingdom,overview,2020-11-06,402
K02000001,United Kingdom,overview,2020-11-05,380
K02000001,United Kingdom,overview,2020-11-04,329
K02000001,United Kingdom,overview,2020-11-03,362
K02000001,United Kingdom,overview,2020-11-02,339
K02000001,United Kingdom,overview,2020-11-01,360
K02000001,United Kingdom,overview,2020-10-31,325
K02000001,United Kingdom,overview,2020-10-30,340
K02000001,United Kingdom,overview,2020-10-29,314
K02000001,United Kingdom,overview,2020-10-28,287
K02000001,United Kingdom,overview,2020-10-27,268
K02000001,United Kingdom,overview,2020-10-26,281
K02000001,United Kingdom,overview,2020-10-25,252
K02000001,United Kingdom,overview,2020-10-24,213
K02000001,United Kingdom,overview,2020-10-23,224
K02000001,United Kingdom,overview,2020-10-22,236
K02000001,United Kingdom,overview,2020-10-21,221
K02000001,United Kingdom,overview,2020-10-20,200
K02000001,United Kingdom,overview,2020-10-19,192
K02000001,United Kingdom,overview,2020-10-18,161
K02000001,United Kingdom,overview,2020-10-17,179
K02000001,United Kingdom,overview,2020-10-16,150
K02000001,United Kingdom,overview,2020-10-15,151
K02000001,United Kingdom,overview,2020-10-14,117
K02000001,United Kingdom,overview,2020-10-13,111
K02000001,United Kingdom,overview,2020-10-12,113
